Company Name,Skills Set,Information Link,Description,Posted Time
PureTechCodexPrivateLimited,"rest,python,database,django,debugging,mongodb",https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JobDescription:2to3YearsexperienceinPython.ExpertinPython,withknowledgeofatleastonePythonwebframeworkFlask,Djangoetc.Expertinserverprogramming.GoodunderstandingofthethreadinglimitationsofPython,andmultiprocessarchitecture.KnowledgeofeventdrivenprogramminginPython.Strongunittestanddebuggingskills.KnowledgeofAWScloudandpythonBotolib.Knowledgeofmongodb.HasfamiliaritywithdataframeworksinPythonPandasorPySpark.ExperienceworkingonMLprojectsisaplus.Skill:PythonDeveloper(Microservices)PythonDjangoRESTFrameworkCeleryDatabaseRelational,Non-RelationalMicroservicesApplicationDevelopmentandDeliveryforCloudKnowledgeofLoadBalancingand/orNetworkingisaddedbonus.JobType:Full-timeExperience:Minimum2yearsofexperienceinpythonEducation:B.E,MCAorEquivalentDegreewithGoodAcademicbackground.",Posted 1 day ago
capgemini,"securitycompliance,python,html5,mobile,javascript,database,django,pythonscripting",https://www.timesjobs.com/job-detail/python-capgemini-pune-12-to-15-yrs-jobid-SnD3Qy3u93RzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JobDescriptionExperienceinPython,withknowledgeofatleastonePythonwebframework,suchasDjango,Flask,etcdependingonyourtechnologystackFamiliaritywithsomeORM(ObjectRelationalMapper)librariesAbletointegratemultipledatasourcesanddatabasesintoonesystemUnderstandingofthethreadinglimitationsofPython,andmulti-processarchitectureGoodunderstandingofserver-sidetemplatinglanguages,suchasJinja2,Mako,etcdependingonyourtechnologystackBasicunderstandingoffront-endtechnologies,suchasJavaScript,HTML5,andCSS3UnderstandingofaccessibilityandsecuritycompliancedependingonthespecificprojectKnowledgeofuserauthenticationandauthorizationbetweenmultiplesystems,servers,andenvironmentsUnderstandingofthedifferencesbetweenmultipledeliveryplatforms,suchasmobilevsdesktop,andoptimizingoutputtomatchthespecificplatformAbletocreatedatabaseschemasthatrepresentandsupportbusinessprocessesPrimarySkillsPythonScriptingJavaScript/HTML5CSS3SecondarySkillsDjangoFlask",Posted few days ago
GEMINISOFTWARESOLUTIONS,"python,mobile,svn,nosql,pythonscripting,git,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-software-solutions-gurgaon-4-to-7-yrs-jobid-jsOuZLK8chlzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		4YearsGurgaonB.TechRequiredSkills4yearsofsoftwarequalityassuranceexperienceExperienceoncreatingFrameworkForTestAutomation.GoodknowledgeofPythonScripting(Mandatory).KnowledgeofWorkingwithSQLDatabaseismandatory.ExperienceonworkingonVersionControlToolslikeSvnorGitExperienceonworkingwithCICDCTandBuildtoolslikeGitlaborJenkinsKnowledgeofNoSqlwillbeplusStronginterpersonalandclienthandlingskillsAbilitytoworkindependentlyandaspartofateam.GoodCommunicationskills",Posted few days ago
GeminiSolutions,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		4YearsGurgaonB.TechRequiredSkills4yearsofsoftwarequalityassuranceexperienceExperienceoncreatingFrameworkForTestAutomation.GoodknowledgeofPythonScripting(Mandatory).KnowledgeofWorkingwithSQLDatabaseismandatory.ExperienceonworkingonVersionControlToolslikeSvnorGitExperienceonworkingwithCICDCTandBuildtoolslikeGitlaborJenkinsKnowledgeofNoSqlwillbeplusStronginterpersonalandclienthandlingskillsAbilitytoworkindependentlyandaspartofateam.GoodCommunicationskills",Posted few days ago
"CRMConsultancy
(MoreJobs)",python,https://www.timesjobs.com/job-detail/python-developer-crm-consultancy-bengaluru-bangalore-0-to-1-yrs-jobid-koWOU5y8qWFzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
hi
Fromcrmconsultancy
jobprofile:softwaredeveloper
skills:python
experience:0to1
location:bangalore
qualification:anygraduate(onlycoursecompletionprofiles)
forwardtheupdatedresumeonlineinterviewwillbeconducted.whoareavaila inbangalore",Posted 1 day ago
RandstadMENA,"python,java,technicalskills",https://www.timesjobs.com/job-detail/python-developer-randstad-mena-chennai-0-to-3-yrs-jobid-YEI__SLASH__KaKJCrRzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		jobdescriptionpythondeveloperinchennaiJobDescription.Understandingbusinessrequirements,taskmanagementandcontributinginhighleveldesigning.Databasedesign,projectplanning,documentation&executionofprojectworkplanandrevisionasappropriate,tomeetthechangingneedsandrequirements.Managingteamdevelopmentbyensuringthatprojecttasksareinline.Peoplemanagement.Musthavesoundtechnicalskills.Identifyresourcesneededandassignindividualresponsibilities.Manageday-to-dayoperationalaspectsofaprojectandscope.Reviewdeliverablespreparedbyteambeforegoinglivetoclient.5Daysworkinginaweek.skillsJava,pythondeveloperqualificationB.E/B.Tech",Posted 2 days ago
BRICKREDTECHNOLOGIESPVT.LTD.,"imageprocessing,python,opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-gFvdvfbX1XdzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		DetailedJobDescription:1.Proficientinpythonandnumericalprogramming,especiallynumpy,opencv,sckit-image,sklearn.2.Basicunderstandingin3Dimageprocessing,especiallywarping3.Basicunderstandinginseismicimageprocessing(geophysics/geology).4.Basicunderstandingin3Dsyntheticdatageneration(forCNN/deeplearning)isaplus.5.Experienceinparallelprogrammingisaplus.",Posted 3 days ago
BRICKREDTECHNOLOGIESPVT.LTD.,"imageprocessing,python,opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-p9__SLASH__whk__PLUS____PLUS__Ie1zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		1.Proficientinpythonandnumericalprogramming,especiallynumpy,opencv,sckit-image,sklearn.2.Basicunderstandingin3Dimageprocessing,especiallywarping3.Basicunderstandinginseismicimageprocessing(geophysics/geology).4.Basicunderstandingin3Dsyntheticdatageneration(forCNN/deeplearning)isaplus.5.Experienceinparallelprogrammingisaplus.",Posted 3 days ago
BRICKREDTECHNOLOGIESPVT.LTD.,"imageprocessing,python,opencv",https://www.timesjobs.com/job-detail/python-developer-brickred-technologies-pvt-ltd-0-to-3-yrs-jobid-LHhOOHnAobhzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JD1.Proficientinpythonandnumericalprogramming,especiallynumpy,opencv,sckit-image,sklearn.2.Basicunderstandingin3Dimageprocessing,especiallywarping3.Basicunderstandinginseismicimageprocessing(geophysics/geology).4.Basicunderstandingin3Dsyntheticdatageneration(forCNN/deeplearning)isaplus.5.Experienceinparallelprogrammingisaplus.",Posted 3 days ago
VisionpixTechnologiesLLP,"python,oops,technicalskills,",https://www.timesjobs.com/job-detail/python-developer-visionpix-technologies-llp-bengaluru-bangalore-4-to-10-yrs-jobid-EAoyvX9td4pzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Job-PythonDeveloperSkills:Python,OOPsLocation:BangloreEducation:Be,MCASalary:15-18LakhsExperience:4-10YearsJobDescription:StrongPythondeveloperwhocanworkindependently&alsotechnicallymentoringandleadingasmallteamPrimaryTechnicalSkillsExpectation:-Goodpythonprogrammingexperience&objectorientedconceptsinPYTHON&-Experienceinpythonframeworks-Shouldhaveexcellentcommunicationskills",Posted 4 days ago
